name,date_iso,amount_usd_millions,round,category,category_group,sector,lead_investors,other_investors,source,valuation_usd_millions,chains,defillama_id
Cointel,2025-08-20,7.4,Strategic,Cybersecurity,Security & Audits,"Cointel is an AI-native cryptocurrency intelligence platform that employs machine learning algorithms for real-time market analytics, predictive trading insights, scam detection via features like Scam Radar, and gamified educational tools to simplify and secure digital asset investments for users",,"Sugafam Inc, Avalanche",https://x.com/Cointel_io/status/1958167143301730753,,,
Nubit,2024-06-05,8.0,Seed,Infrastructure,Web3 Infrastructure & Tools,data availability (DA) layer for multi-chain ecosystems,Polychain Capital,"Nomad Capital, The Spartan Group, L2IV, Big Brain Holdings, GCR, Protagonist, Gate Ventures, Animoca Brands, Mask Network, OKX Ventures, Primitive Ventures, Geek Cartel, Symbolic Capital, MH Ventures",https://x.com/nubit_org/status/1798354251191877665,,"Babylon, Merlin Chain, Polygon, Optimism, Arbitrum, Scroll",
Mask Network,2018-01-10,0.6,Angel Round,,,"Mask Network is the Portal to the New, Open Internet.",FREES FUND,,,,,
Data Gumbo,2017-11-20,1.35,Convertible note issuance,,,The smart contract network company trusted by global industrial enterprises,,,,,,
Hoopox,2017-09-20,4.258,Seed,Infrastructure,Web3 Infrastructure & Tools,"Hoopox provides technical services related to infrastructure, block chain systems and vertical (specialized) industries.",,"Albatross Venture, China Growth Capital, DFJ DragonFund, DHVC, Taoshi Capital, WeXFin",,,,
SatLayer,2024-08-22,8.0,Pre-Seed,Liquid Restaking Protocol,,Bitcoin restaking platform,"Hack VC, Castle Island Ventures","Franklin Templeton, OKX Ventures, Mirana Ventures, Big Brain Holdings, Amber Group, CMS Holdings, MH Ventures",https://x.com/TheBlock__/status/1826620372898222531,,Bitcoin,
Ion Protocol,2023-07-13,2.0,Pre-Seed,DeFi,DeFi & CeFi,CDPs for restaked assets,"Portal Ventures, SevenX Ventures","Bankless Ventures, Maelstrom, Alexander Larsen, Ryan Watkins, Hash Capital, Foresight Ventures, Smrti Labs, Maelstrom Fund, Breed VC, Everstake Pool, Punk Ventures DAO, Builder VC, Picks and Shovels VC, Marc Weinstein, Anthony Sassano, Daniel Dizion, Catrina Wang, Defi Dave, David Gogel, Paul Kim, Ryan Selkis, Yuki Yuminaga, Daniel Cheung, Wilson Withiam, Jack Sun, Ahboyash",https://twitter.com/ionprotocol/status/1679538591293136899,,Ethereum,4532
Covalent,2024-06-26,5.0,Strategic,Infrastructure,Web3 Infrastructure & Tools,Covalent is designed to address a problem that is frequently overlooked: read-scalability.,RockTree Capital,"CMCC Global, Moonrock Capital, Double Peak Group",https://x.com/TheBlock__/status/1805918962909139128,,,
Messari,2022-09-21,35.0,Series B,,,Analytics,Brevan Howard Digital,"FTX Ventures, Morgan Creek Digital, Samsung Next, Point72 Ventures, Kraken Ventures, Uncork Capital, Underscore VC, Galaxy, Coinbase Ventures",https://twitter.com/MessariCrypto/status/1572585860750790664,,,
The INX Digital Company,2018-05-09,1.4,Seed,Trading,DeFi & CeFi,INX owns regulated trading platforms for digital securities and cryptocurrencies.,,,,,,
Liquid M Capital,2017-10-29,1.277,,,,A financial technology company.,,,,,,
Dapper Labs,2018-03-20,12.85,Series A,Gaming,"NFT, Gaming & Metaverse",Dapper Labs is a consumer-focused flow blockchain product made for fun and games and supports digital collectibles.,,"a16z, CAA Ventures, Caffeinated Capital, Compound, DCG, Graph Ventures, Green Bay Ventures, Hex Capital, Accomplice",,,,
Amboss Technologies,2023-04-26,4.0,Seed,Analytics,"AI, Analytics & Data",Lightning tools,Stillmark,"Valor Equity Partners, Draper Associates, Fulgur Ventures, Ride Wave Ventures",https://twitter.com/CoingraphNews/status/1650957494640865284,,Bitcoin,
Stably Corporation,2020-03-02,1.0,Seed,Stablecoin,,Stably is a venture capital-backed FinTech startup from Seattle (USA) providing asset tokenization and stablecoin infrastructure,,,,,,
Ethereum Push Notification Service,2020-12-08,0.75,Seed,DeFi,DeFi & CeFi,Ethereum Push Notification Service is a decentralized notification protocol.,,"4RC, Balaji Srinivasan, Scott Moore, Mariano Conti, Anthony Sassano, DeFiDad, Ravindra Kumar, Preethi Kasireddy, Andrew Chen, DeltaHub Capital, Luka Sucic, Ben Lakoff, Auryn Macmillan, Danny Christ, Kenneth Ng, Ganeshram Gunalan, Thomas Kaseng Ao, Kathik Garg, The Lao, Metacartel Ventures, BlockRock Capital, LD Capital, D64 Ventures, Moonwhale Ventures",https://medium.com/push-protocol/ethereum-push-notification-service-successfully-raises-750k-usd-in-seed-round-bec41eadd84d,5.0,Ethereum,1641
Qredo,2021-06-28,16.0,ICO,,,Qredo is a platform that provides secure and fast movement of digital assets.,,"Accomplice, Coinbase Ventures, Figment, LD Capital, LedgerPrime, Miles Parry, Nexo, Signum Capital",,,,
Near,2022-01-13,150.0,Private token sale,,,L1,3AC,"Mechanism Capital, a16z, Zee Prime, Amber Group, Dragonfly Capital, Alameda Research, Jump Crypto, Accomplice",https://www.coindesk.com/business/2022/01/13/near-raises-150m-from-major-crypto-investment-firms/,,,
Trade Republic,2021-05-20,900.0,Series C,,,"Trade Republic helps Europeans for wealth creation through easy, secure, and free access to financial markets.",,"Accel, Creandum, Founders Fund, H14, Project A Ventures, Sequoia Capital, TCV, Thrive Capital",,,,
3Jane,2025-06-04,5.2,Seed,DeFi,DeFi & CeFi,"3Jane is a decentralized finance (DeFi) protocol built on Ethereum’s Base layer, designed to create the first scalable credit-based money market in the crypto space.",Paradigm,"Wintermute Ventures, Coinbase Ventures, Breed VC, Robot Ventures, Bodhi Ventures, Andre Cronje",https://x.com/3janexyz/status/1930264347441615188,,Base,4770
Ment Tech,2021-01-10,1.0,Seed,,,Global Leading Blockchain Product & Service Provider,,Ujjwal Sahay,,,,
Neptune Mutual,2022-07-22,1.75,Seed,DeFi,DeFi & CeFi,Parametric Insurance Protocol,Fenbushi Capital,"Coinbase Ventures, Huobi Ventures, GravityX Capital, Hex Trust, Axiom, NVC Partners, Alphabit Digital Currency Fund",https://neptunemutual.com/pressroom/neptune-mutual-raises-seed-round-led-by-fenbushi-capital/,,"Ethereum, Arbitrum",2327
Footprint Analytics,2022-05-27,4.15,Seed,,,,,,https://twitter.com/Footprint_DeFi/status/1529685328394498049,,,
Bagel,2024-01-23,3.1,Pre-Seed,Web3,,decentralized data platform aiming to support machine learning models,CoinFund,"Protocol Labs, Borderless Capital, Maven 11, Graph Paper Capital, Breed VC",https://x.com/bagel_network/status/1749810855498363294,,,
CoinRoutes,2021-10-29,15.0,Series B,Trading,DeFi & CeFi,CoinRoutes is a crypto trading software provider.,Ayon Capital,,,,,
Alex,2023-12-20,,Strategic,DeFi,DeFi & CeFi,BTC Defi platform,LK Ventures,,https://x.com/Crypto_Dealflow/status/1737506068345806851,,Bitcoin,1466
CredShields,2024-03-04,1.0,Strategic,Smart contract security,,Web3 security,Draper Associates,,https://x.com/CredShields/status/1764582211859231152,,Ethereum,
Ord.io,2024-04-17,2.0,Pre-Seed,Infrastructure,Web3 Infrastructure & Tools,Bitcoin Ordinals explorer,"Bitcoin Frontier Fund, Sora Ventures","Eden Block, Arca, Longhash Ventures, Daxos Capital, Portal Ventures, UTXO Management, Rubik Ventures, VitalTao Capital, Antalpha Ventures, Kommune, Edessa Capital, PetRock Capital, PG Capital, Shake and Bake Productions, RE7Capital, Balaji Fund",https://x.com/TheBlock__/status/1780597120426184888,,Bitcoin,
Sup,2022-02-12,12.0,Seed,NFT,"NFT, Gaming & Metaverse",Blitmap parent company,Paradigm,,https://twitter.com/supdotxyz/status/1491810114415833096,,,
BTP,2021-07-15,2.77,Seed,,,Blockchain Technology Partners is an enterprise blockchain company that enables multiparty innovation,"Force Over Mass Capital, Signature Ventures",,,,,
Nested,2022-03-02,7.5,Series A,DeFi,DeFi & CeFi,Portfolio management & social trading,Alan Howard Family Office,"Republic Capital, Kenetic Capital, CMT Digital, Joseph Eagen",https://twitter.com/NestedFi/status/1499048576822960135,,"Ethereum, Avalanche, BSC, Polygon, Arbitrum",1613
Most Caffeine,2019-06-12,50.0,,,,Most Caffeine is the leading blockchain firm.,,,,,,
HyperTrader,2021-11-15,1.43,Seed,Trading,DeFi & CeFi,Democratizing access to trading technologies,,"Fenbushi Capital, Rebel Fund, SGH CAPITAL, Side Door Ventures, TRAC",,,,
Giddy,2023-04-27,6.9,Strategic,Web3,,Crypto wallet,,"Pelion Venture Partners, Peak Capital Partners, Clarke Capital, Geremy Mustard",https://twitter.com/CoinDesk/status/1651602883056394242?s=20,,,
RoOLZ,2024-09-23,1.0,Private Round,NFT,"NFT, Gaming & Metaverse",Fan Owned Entertainment,TON Ventures,,https://x.com/Roolznft/status/1839380489574216037,,,
Bitfinity,2024-11-19,12.0,,L2,Base Layers & Scaling,"Bitfinity Network, a new Bitcoin layer-2 (L2) solution",,"Polychain Capital, ParaFi Capital, Draft Ventures, Warburg Serres Investments",https://cointelegraph.com/news/bitfinity-network-bitcoin-layer-2-evm-defi-launch,,Bitcoin,
1Token,2018-11-19,10.0,Series A,,,"1Token CAM provides one-stop On-Premise solution, covering front to back office for buy / sell side in crypto market.","Matrix Partners China, Milestone",Gate Ventures,,,,
N1,2025-05-14,2.0,Public token sale,L1,Base Layers & Scaling,N1 is a scalable Layer 1 blockchain,,,https://x.com/n1chain/status/1922645585217343536,,,
Neng Lian Tech,2016-11-11,1.468,Angel Round,,,Neng Lian Tech is a blockchain and digital financial services provider company.,"Goolun Capital, JC Capital, Karuida",,,,,
ZenSports,2020-09-15,1.46,Seed,Gaming,"NFT, Gaming & Metaverse","Mobile sports betting against the house or peer-to-peer, using fiat or cryptocurrencies",,"Cube Magic Gaming, Daniel Curran, LAUNCH, SIGMA Venture Partners, The Syndicate.com",,,,
MeshMap,2024-09-26,4.0,,Web3,,A decentralized and open 3D map of the world,,"a16z crypto, Lattice Capital, Colosseum, Escape Velocity, GSR",https://x.com/ryrzny/status/1839402122997387468,,,
Ping,2022-11-11,15.0,Seed,,,Freelancer-focused neobank,,"Y Combinator, Race Capital, BlockTower Capital, Danhua Capital, Signum Capital, GOAT Capital",https://twitter.com/TheBlock__/status/1590914298695618560,,,
Elrond,2019-07-15,1.9,Seed,L1,Base Layers & Scaling,"Elrond is a highly scalable, fast and secure blockchain platform for distributed apps, enterprise use cases and the new internet economy.",,"AU21 Capital, Authorito Capital, Binance Labs, Electric Capital, MapleBlock Capital, Maven 11, NGC Partners, Woodstock Fund",https://medium.com/elrondnetwork/elrond-secures-1-9-million-in-private-funding-round-press-release-9d0cfe87a56c,,Elrond,
Telos,2021-11-09,8.0,Seed,L1,Base Layers & Scaling,Telos provides the third-generation blockchain platform.,"ConsenSys Ventures, John Lilic",,,,Telos,chain#telos
Cardashift,2021-09-28,1.5,Pre-Seed,DeFi,DeFi & CeFi,"Cardashift is a community-run launchpad that raises funds, builds and accelerates startups that are solving social and environmental issues",,"Jean-Christophe Bohin, Matters, smart-chain",,,,
dexFreight,2021-07-30,1.07,Seed,Web3,,FinTech-enabled market network for freight companies to handle shipments from booking to payment in one place using smart contracts.,,,,,,
Spruce,2021-11-02,7.5,Seed,,,Spruce offers the most secure and convenient developer tools to share authentic data.,,"A.Capital Ventures, Alameda Research, Benedict Chan, BITKRAFT Ventures, Coinbase Ventures, Electric Capital, Ethereal Ventures, Future Positive, Gemini Frontier Fund, Jaynti Kanani, Protocol Labs, SV Angel, Third Kind Venture Capital",,,,
Rysk Finance,2023-01-31,1.4,Pre-Seed,DeFi,DeFi & CeFi,On-chain market maker for DeFi derivatives,Lemniscap,"Encode Club, Ascensive Assets, Starbloom, Yunt Capital, Manifold Trading, Hype.eth, Ivangbi, Windra Thio",https://twitter.com/ryskfinance/status/1620427348163297283,,Arbitrum,2605
Bitkeep,2022-05-19,15.0,Series A,,,,,,https://twitter.com/BitKeepOS/status/1526770951098011648,,,
Mamori,2024-07-01,5.0,Seed,,,"ML-enabled Pathfinder for Blockchain Value Extraction, that can be applied to Zero-Day Economic exploits, MEV Searching and Intent Solving",Blockchain Capital,"Velocity Capital, Web3.com Ventures, Grigore Rosu, Daniel Lubarov, Bo Du, Michael Henrich, Alex Watts, Richard Adjei, Shujia Liang, Antonio Viggiano",https://x.com/mamori_xyz/status/1807798004126241073,,,
Seismic,2025-03-06,7.0,Seed,Infrastructure,Web3 Infrastructure & Tools,,a16z crypto,"Polychain Capital, 1kx, Dao5, NGC Ventures",https://x.com/SeismicSys/status/1897644591530348791,,,
Ledn,2021-12-15,70.0,Series B,CeFi,DeFi & CeFi,CeFi Lending,10T Holdings,"GoldenTree, Raptor Capital, FJ Labs",https://www.coindesk.com/business/2021/12/15/crypto-lender-ledn-raises-70m-in-series-b-round-readies-bitcoin-backed-mortgage-product/,540.0,,
Xion Finance,2021-05-01,1.2,ICO,DeFi,DeFi & CeFi,"DEX aggregator, staking, governance and multi-chain launchpad protocol",,"BSCPad, GD10 Ventures, Lupa X Capital, SkyVision Capital, TrustPad, Twin Apex Capital",,,,
Animoca Brands,2022-09-08,110.0,Convertible note issuance,Gaming,"NFT, Gaming & Metaverse",Blockchain gaming developer,,"Temasek, Boyu Capital, CGV Capital",https://twitter.com/animocabrands/status/1568155556442931201?s=20&t=IP4Y4HAyZ3EhXqrfTcTbmQ,,,
Forta Protocol,2021-09-30,23.0,,Smart contract security,,Forta Protocol is a security service aimed at smart contracts.,,"a16z, Blockchain Capital, Coinbase Ventures, North Island Ventures, OpenZeppelin, True Ventures",,,,
Korbit,2014-08-25,3.0,Series A,Centralized Exchange,DeFi & CeFi,"Korbit provides online bitcoin exchange, wallet, and merchant processor services.",,"BAM Ventures, Draper Associates, Pantera Capital, Pietro Dova, Softbank Ventures Asia, Strong Ventures",,,,
Socialpay,2018-03-21,1.23,Seed,,,Socialpay is a pioneer startup .,CaixaBank,,,,,
Polyhedra,2024-03-14,20.0,Strategic,Infrastructure,Web3 Infrastructure & Tools,Infrastructure for Web3 interoperability by leveraging advanced zero-knowledge proof protocols,Polychain Capital,"Animoca Brands, Emirates Consortium, MapleBlock Capital, Hashkey Capital, UOB Ventures, Symbolic Capital Partners, Longhash Ventures, MH Ventures, ArkStream Capital, Web3Port Foundation",https://x.com/CoinDesk/status/1768245968107934067,1000.0,Ethereum,
Squid,2023-01-31,3.5,Seed,,,Cross-chain liquidity & messaging router built on Axelar,North Island VC,"Distributed Global, Fabric Ventures, Galileo, Chapter One, Noble Capital, Axelar",https://twitter.com/CoinDesk/status/1620452365009666048,,"Ethereum, Moonbeam, BSC, Arbitrum, Avalanche, Polygon, Cosmos",
Shardeum,2023-07-07,5.4,Strategic,L1,Base Layers & Scaling,EVM-based L1 which uses dynamic state sharding to achieve linear scalability.,,"Amber Group, Galxe, J17 Capital, TRGC, Jsquare, Bware Labs, Tané Labs, Hyperithm Group, Luganodes",https://twitter.com/TheBlock__/status/1677400455779852291,248.0,,
CoolBitX,2017-03-10,0.5,Seed,,,"An international blockchain security company providing solutions, CoolWallet and Sygna, to enable the mass adoption of virtual assets.",Kyber Capital Crypto,,,,,
Risc Zero,2023-07-19,40.0,Series A,Zero Knowledge Industry,,"RISC-V virtual trusted/trustless (it’s complicated) computer based on zero-knowledge cryptography, specifically zk-STARKs",Blockchain Capital,"Bain Capital Crypto, Galaxy Digital, IOSG Ventures, RockawayX, Maven 11, Fenbushi Capital, Delphi Digital, Aglaé Ventures, IOBC Capital, zeroDAO, Alchemy",https://twitter.com/RiscZero/status/1681650095270535168,,,
Cetus,2023-05-02,,Seed,DeFi,DeFi & CeFi,DEX and concentrated liquidity protocol built on Sui and Aptos,"OKX Ventures, KuCoin Ventures","Comma3 Ventures, NGC Ventures, Animoca Brands, IDG Capital, Leland Ventures, AC Capital, Adaverse, Coin98 Ventures",https://twitter.com/CetusProtocol/status/1653323203790663683,,"Sui, Aptos",2289
Fountain,2024-09-10,3.5,Seed,Infrastructure,Web3 Infrastructure & Tools,The Web3 Operating System for Enterprise,,"Foundation Capital, Caladan, Primal Capital, Druid Ventures, United Overseas Bank, NGC Ventures, Blockchain Builders Fund, MHC, Marin Ventures, Rene Reinsberg, Nathan McCauley",https://x.com/joinfountain/status/1833514447979130909,,,
Mavryk Network,2025-02-25,5.2,,L1,Base Layers & Scaling,"a Layer 1 blockchain platform designed to integrate real-world assets (RWAs) with decentralized finance (DeFi), offering a scalable, secure, and business-oriented ecosystem for tokenization and mainstream adoption",,"Ghaf Capital Partners, Big Brain Holdings, Cluster Capital, Metavest Capital, Collective Ventures",https://x.com/MavrykNetwork/status/1894429912347430933,,,
Newton,2022-02-09,20.0,Series B,Trading,DeFi & CeFi,Canadian crypto trading platform,,Anthony Pompliano,https://www.coindesk.com/business/2022/02/09/canadian-crypto-platform-newton-raises-20m-round-at-200m-valuation/,200.0,,
Unique Network,2021-05-20,4.3,Series A,NFT,"NFT, Gaming & Metaverse",Unique Network is a scalable blockchain for composable NFTs with advanced economies.,,"Animoca Brands, Digital Finance Group, Outlier Ventures",,,,
CryptoQuant,2021-08-11,3.0,Seed,Analytics,"AI, Analytics & Data",CryptoQuant is a crypto data provider that lowers the hurdles of data-driven investing.,,"Galaxy Interactive, Hashed, Mirae Asset Capital, Youbi Capital",,,,
BTCS,2017-06-01,1.0,Post-IPO Equity,,,BTCS is an early mover in the blockchain and digital currency ecosystems focused on digital assets and blockchain technologies.,,,,,,
Bitstocks Trading Limited,2021-01-05,2.04,Equity Crowdsale,Trading,DeFi & CeFi,"Bitstocks Trading Limited offers market advisory, management service digital asset trading desk for individual investors and institutions.",,"Crowdcube, Tradewind Capital Group, Wayne Gray",,,,
Mith,2023-12-01,3.5,Seed,,,Fan engagement platform,,"CMT Digital, NEAR Foundation, Winklevoss Capital, Warner Music Group, Fourth Revolution Capital, Alpha Praetorian Capital",https://x.com/AxiosPro/status/1730229135572656417,,,
DeFi App,2025-02-13,2.0,Seed+,DeFi,DeFi & CeFi,a platform aiming to simplify decentralized finance (DeFi) trading,Mechanism Capital,DCF Capital Partners,https://www.theblock.co/post/340743/defi-app-funding-token-valuation-cobie-echo,100.0,,
Digital Asset,2019-12-11,35.0,Series C,Infrastructure,Web3 Infrastructure & Tools,"Digital Asset develops ledger technology intended to build distributed, encrypted straight-through processing tools.",,"Accenture, ASX Limited, Broadridge, Citi, Deutsche Borse, DTCC, Goldman Sachs, IBM, JP Morgan",https://blog.digitalasset.com/press-release/digital-asset-raises-35-million-in-series-c-financing,,,
FlexyStakes,2023-12-27,12.0,Seed,DeFi,DeFi & CeFi,,Binance Labs,,,,,
Curv,2020-07-01,23.0,Series A,Infrastructure,Web3 Infrastructure & Tools,Curv is a developer of digital asset security infrastructure helping crypto-native and financial institutions to create digital wallets.,,"Coinbase Ventures, Commerz Ventures, DG Lab Fund, DCG, Team8",,,,
"Cheeze, Inc",2021-11-10,1.8,Pre-Seed,NFT,"NFT, Gaming & Metaverse",Mint your photos on the blockchain.,,"Derek Andersen, Guy Kawasaki, James Vincent, Marc Randolph, Matty Soudagar, Olive Tree Capital, Pirata Capital Management, RAA Ventures",,,,
WonderFi,2021-07-08,5.6,Series A,CeFi,DeFi & CeFi,WonderFi is a technology company that is providing individuals with better access to financial services through DeFi.,Alameda Research,,,,,
Shield,2023-04-20,2.1,Pre-Seed,,,Web3 security,,"Kraken Ventures, Eterna Capital, Alchemy, MoonPay, Rob Behnke, MH Ventures, Quantstamp, Very Serious Ventures",https://twitter.com/CoinDesk/status/1649096346324942868,,,
Dymension,2023-02-09,6.7,Seed,L2,Base Layers & Scaling,Dymension is a network of easily deployable modular blockchains called RollApps,"Big Brain Holdings, Stratos","Matchbox DAO, Shalom Meckenzie",https://twitter.com/dymensionXYZ/status/1623706686362902531,,Cosmos,
"AdLunam, Inc.",2021-11-28,2.5,Seed,,,Engage to Earn NFT-integrated Proof of Attention IDO Launchpad for the Web3 Attention Economy,,"Avstar Capital, COINCU, Dec.Ventures, DEXT Force Ventures, Dutch Crypto Investors, Gains Associates, Halvings Capital, Kangaroo Capital, R8 Capital, Seedthrift Ventures, Vespertine Capital",,,,
Utorg,2022-12-16,5.0,Seed,,,Fiat Gateway for Crypto,Dragonfly Capital,"TA Ventures, Hypra Fund",https://twitter.com/TheBlock__/status/1603818820715651072,,,
Soluna,2025-07-22,20.0,,Infrastructure,Web3 Infrastructure & Tools,"Soluna is a publicly traded company (NASDAQ: SLNH) that develops green data centers, co-located with renewable energy sources, to power high-performance computing applications like Bitcoin mining and AI using its proprietary MaestroOS™ software",Spring Lane Capital,,https://x.com/SolunaHoldings/status/1947645065905463773,,,
Securitize,2019-09-01,14.0,Series A,,,"Securitize enables digital securities, which are easier to own, simpler to manage, and faster to trade.",,"4Founders Capital, Blockchain Capital, Blockchain.com Ventures, Borderless Capital, Fenbushi Capital, Global Brain Corporation, KDDI Open Innovation Fund, Kinetic, Mitsui Fudosan, Mouro Capital, MUFG Bank, Nomura",https://tokenist.com/digital-securities-platform-securitize-raises-14-million-in-series-a-extension/,,,
Set Labs,2021-05-28,14.0,Series A,DeFi,DeFi & CeFi,"Set Labs is a crypto-financial platform that allows users to create baskets of cryptocurrency, NFTs, and on-chain securities.",,"1kx, Bossanova Investimentos, Coinbase Ventures, Craft Ventures, DeFiance Capital, Eric Conner, Hashed, Mechanism Capital, ParaFi Capital, The Spartan Group, Threshold",,,Ethereum,266
Particle Network,2022-04-28,1.8,Pre-Seed,L1,Base Layers & Scaling,"The modular L1 powering chain abstraction. The startup aims to solve user and liquidity fragmentation through Universal Accounts. The main products are: Modular Smart Wallet-as-a-Service, Confidential zkStack, Omnichain Account Abstraction & Intent Fusion Protocol",LongHash,"CyberConnect, 7 O'Clock Capital, Insignia Venture Partners, BitCoke, Monad",https://medium.com/@ParticleNetwork/particle-network-secures-1-5m-to-build-the-web3-mobile-app-data-and-development-platform-69b6297cd0fb,,,
CoinMetro,2018-04-01,14.8,ICO,,,CoinMetro is a financial platform fueling the future of blockchain innovation.,,,,,,
IPwe,2020-04-29,3.05,Series A,,,"IPwe is a global platform leveraging the power of AI, predictive analytics & blockchain technology around smart intangible asset management.",,,,,,
LFG,2022-02-23,1000.0,Strategic Private Sale,DeFi,DeFi & CeFi,Back-stop UST,"Jump Crypto, 3AC","DeFiance Capital, Republic Capital, GSR, Tribe Capital",https://twitter.com/JumpCryptoHQ/status/1496184264530042885,,,
Ocavu (formerly Seek),2021-10-01,5.33,Series A,,,"Ocavu is a Web3 ecosystem that empowers brands for cross-platform 3D, NFTs, tokens, and decentralized community management at scale.",,"Alan Swick, Ben Garrison, Blue Diamond Capital, Cameron George, Coby Cotton, Cody Jones, Cory Cotton, Dane Covington, Enger Investments, Eric Riddle, Garrett Hilbert, Gregg Lurcott",,,,
Colendi,2018-08-29,2.5,Seed,Banking,DeFi & CeFi,"A multifunctional banking as a service platform that democratizes banking services for consumers, merchants, and financial institutions","Aslanoba Capital, Next Ventures",,,,,
Neos Metaverse,2015-12-15,0.493,Pre-Seed,Metaverse,"NFT, Gaming & Metaverse","Neos Metaverse is a peer-to-peer virtual reality metaverse for creators, educators, and communities.",River Accelerator,,,,,
EZ Swap,2023-12-30,1.0,Seed,DeFi,DeFi & CeFi,"Multi-Chain NFT & Inscription DEX Protocol, The First Gaming & Inscription Assets Market Making, Manta, EOS EVM, Polygon, ETH, zkSync, Arbitrum",EOS Network Ventures,,https://twitter.com/EZswapProtocol/status/1741105266689753251,,EOS,
Bluzelle,2016-03-31,0.3,Seed,Infrastructure,Web3 Infrastructure & Tools,"Bluzelle offers a complete and fully integrated stack of blockchain applications, middleware and data services.",,"Plasma Capital, True Global Ventures",,,,
Tanssi,2023-05-23,3.0,Seed,Infrastructure,Web3 Infrastructure & Tools,appchain infrastructure protocol,Arrington XRP Capital,"Borderless Capital, Hashkey Capital, D1 Ventures, Hypershere, C2 Ventures, Jsquare",https://twitter.com/TanssiNetwork/status/1661006430818934792,,,
Pow.re,2023-02-02,9.2,Series A,Mining,Web3 Infrastructure & Tools,Crypto mining,Haru Invest,"Trinito, RFD Capital",https://twitter.com/CoinDesk/status/1621027610657542147,150.0,,
Cypher,2023-01-19,4.3,Seed,Custody,Web3 Infrastructure & Tools,Multichain wallet,Y Combinator,"OrangeDAO, Samsung Next, Bali Srinivasan",https://twitter.com/TheBlock__/status/1616073246323126273,,,
PumpBTC,2024-10-29,10.0,Seed,DeFi,DeFi & CeFi,PumpBTC serves as a Liquid Restaking Solution for Babylon. PumpBTC aims to help BTC holders maximize yields through Babylon's liquid staking - essentially rebuilding WBTC with native yield,"SevenX Ventures, Mirana Ventures","UTXO Management, Seven Seas Capital, Mantle Network, Istari Ventures, Arcane Group, Sharding Capital, CoinSummer Labs, 10K Ventures, Quantstamp, Veda, RedStone Oracles, SynFutures, Superteam",https://x.com/Pumpbtcxyz/status/1851232560657084692,,,4922
Humaniq,2017-04-28,5.163,ICO,,,Humaniq is a global Fintech company that provides next-generation financial services in emerging economies.,,,,,,
Monegraph,2015-02-23,1.3,Convertible note issuance,,,Monegraph is a platform that helps digital creators to construct licenses for the commercial use of their digital work.,,,,,,
XLD Finance,2022-07-20,13.0,pre-Series A,,,,,,https://twitter.com/XLDFinance/status/1549387613538484224,,,
Liquid Avatar Technologies,2020-12-23,4.15,Post-IPO Equity,,,"Liquid Avatar Technologies is an innovator in financial services, technologies, and products for the blockchain industry.",,,,,,
Ocean Protocol,2018-03-09,22.1,ICO,DeFi,DeFi & CeFi,Ocean Protocol is a decentralized data exchange protocol that lets people share and monetize data.,,"Bamboo Sea Ventures, Buck Stash, Cashican People LLC, COIND, Crowd Venture Capital, Fabric Ventures, George Burke, Infinite Capital, IOSG Ventures, Kosmos Ventures, Nodex Capital, Outlier Ventures, Tor Kenz Capital, Visary Capital, Zeroth.AI",,,"Ethereum, Polygon, BSC, Moonriver",1213
Continuum World,2021-09-22,2.1,Seed,Gaming,"NFT, Gaming & Metaverse",Continuum World is a gaming company.,,"Alves Ventures, AU21 Capital, Basics Capital, Darkpool Ventures, Exnetwork Capital, Genblock Capital, Metavest, Onchain Capital (Pty) Ltd, OneMax Capital, Peech Capital, Pluto Capital, Shima Capital",,,,
Codex,2025-04-04,15.8,Seed,L1,Base Layers & Scaling,"a startup that’s building its own blockchain designed specifically for stablecoins,",Dragonfly Capital,"Selini Capital, Coinbase Ventures, Wintermute Ventures, Circle Ventures, Cumberland DRW",https://fortune.com/crypto/2025/04/04/codex-seed-round-dragonfly-coinbase-circle-15-8-million/,,,
ReNFT,2022-07-26,5.0,Venture Round,NFT,"NFT, Gaming & Metaverse",NFT Rental Protocol,"Mechanism Capital, Gumis Cryptos Capital","Gemini, Sparkle VC, OpenSea Ventures, Sfermion, Morningstar Ventures, OP Crypto, MetaStreet, emoote, Daedalus, Genblock Capital, GuildFi",https://twitter.com/renftlabs/status/1552041541471969282,,,
Solv Protocol,2020-11-10,1.0,Angel Round,NFT,"NFT, Gaming & Metaverse",NFT Marketplace,,"Hashed, IOSG Ventures, The Spartan Group, GBV Capital, Axia8 Ventures",https://medium.com/solv-blog/solv-protocol-has-closed-1-million-seeding-round-8fb1e88da3a,,Ethereum,parent#solv-protocol
Cymbal,2023-07-24,18.5,Venture Round,,,Human readable blockchain explorer,,"Coinbase Ventures, Solana Ventures, Shima Capital, First Round Capital, Jason Yeh, GV, Connect Ventures, Acrew Capital, UTA VC, Roham, Ryan Wyatt",https://twitter.com/Crypto_Dealflow/status/1683417338639446018,,,
Yupp,2025-06-13,33.0,Seed,AI,"AI, Analytics & Data",Yupp is a consumer AI model discovery and evaluation platform that lets users explore and compare the latest AI models for free,a16z crypto,"Coinbase Ventures, Kunal Shah, Gokul Rajaram",https://a16zcrypto.com/posts/article/investing-in-yupp/,,,
